DevelopmentRegion,RegionalDistrict,Municipality,Year,Month,tot_mkt_trans,n_res_trans,n_res_1fam,n_res_strata,n_res_fam,n_res_strata_rental,n_res_acreage_trans,n_res_unkn,n_comm_tran,n_comm_comm,n_comm_strata_nores,n_comm_industry,n_comm_util,n_comm_unkn,n_farm_tran,n_recr_tran,n_forest_tran,n_unkn_tran,n_fth,n_nbh,n_tot_corp_tran,n_tot_indv_tran,sum_FMV,mn_FMV,md_FMV,sum_PPT_paid,md_PPT,n_foreign_tran,n_foreign_res,n_foreign_comm,n_foreign_oth_unk,n_foreign_corp_tran,n_foreign_indv_tran,perc_n_foreign_res,sum_FMV_foreign_res,mn_FMV_foreign_res,md_FMV_foreign_res,n_lt1M_foreign_res,n_gt1M_foreign_res,n_gt3M_foreign_res,add_tax_paid,sum_FMV_foreign,sum_FMV_res,perc_FMV_foreign_res,sum_invest_foreign_res,perc_invest_foreign_res
Cariboo,04 - Cariboo,391 - District of Wells,2021,1,2,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,nr,nr,270000.00,135000.00,135000.00,3000.00,1500.00,0,0,0,0,0,0,0.0000,0.00,0.00,0.00,0,0,0,0.00,0.00,230000.00,0.0000,0.00,0.0000
Cariboo,04 - Cariboo,391 - District of Wells,2021,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nr,nr,330000.00,165000.00,165000.00,4300.00,2150.00,0,0,0,0,0,0,0.0000,0.00,0.00,0.00,0,0,0,0.00,0.00,330000.00,0.0000,0.00,0.0000
Cariboo,04 - Cariboo,391 - District of Wells,2021,3,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nr,nr,286000.00,143000.00,143000.00,3660.00,1830.00,nr,nr,0,0,0,nr,nr,nr,nr,nr,nr,0,0,nr,nr,286000.00,nr,nr,nr
Cariboo,04 - Cariboo,391 - District of Wells,2021,4,3,3,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nr,nr,466050.00,155350.00,156050.00,5160.50,1560.50,0,0,0,0,0,0,0.0000,0.00,0.00,0.00,0,0,0,0.00,0.00,466050.00,0.0000,0.00,0.0000
Cariboo,04 - Cariboo,391 - District of Wells,2021,5,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nr,40000.00,40000.00,40000.00,400.00,400.00,0,0,0,0,0,0,0.0000,0.00,0.00,0.00,0,0,0,0.00,0.00,40000.00,0.0000,0.00,0.0000
Cariboo,04 - Cariboo,391 - District of Wells,2021,6,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,nr,680000.00,226666.67,250000.00,3000.00,0.00,0,0,0,0,0,0,0.0000,0.00,0.00,0.00,0,0,0,0.00,0.00,680000.00,0.0000,0.00,0.0000
Cariboo,04 - Cariboo,391 - District of Wells,2021,7,6,5,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,nr,nr,472470.00,78745.00,47500.00,5324.70,475.00,nr,nr,0,0,0,nr,nr,nr,nr,nr,nr,0,0,nr,nr,427470.00,nr,nr,nr
Cariboo,04 - Cariboo,391 - District of Wells,2021,8,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,nr,0,600000.00,600000.00,600000.00,10000.00,10000.00,0,0,0,0,0,0,0.0000,0.00,0.00,0.00,0,0,0,0.00,0.00,0.00,0.0000,0.00,0.0000
Cariboo,04 - Cariboo,391 - District of Wells,2021,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0.0000,0.00,0.00,0.00,0,0,0,0.00,0.00,0.00,0.0000,0.00,0.0000
Cariboo,04 - Cariboo,391 - District of Wells,2021,10,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nr,nr,92500.00,46250.00,46250.00,925.00,462.50,0,0,0,0,0,0,0.0000,0.00,0.00,0.00,0,0,0,0.00,0.00,92500.00,0.0000,0.00,0.0000
