,DevelopmentRegion,RegionalDistrict,Municipality,Year,Month,n_res_trans,n_res_1fam,n_res_strata,n_res_fam,n_res_strata_rental,n_res_acreage_trans,n_res_unkn,sum_FMV_res,n_fth
2196,Vancouver Island/Coast,Alberni-Clayoquot,City of Port Alberni,2019,1,41,37,2,1,0,0,1,11647200.0,5
2197,Vancouver Island/Coast,Alberni-Clayoquot,City of Port Alberni,2019,2,27,24,2,1,0,0,0,7701181.0,3
2198,Vancouver Island/Coast,Alberni-Clayoquot,City of Port Alberni,2019,3,27,24,2,0,0,0,1,7245800.0,6
2199,Vancouver Island/Coast,Alberni-Clayoquot,City of Port Alberni,2019,4,44,39,3,2,0,0,0,12590600.0,12
2200,Vancouver Island/Coast,Alberni-Clayoquot,City of Port Alberni,2019,5,49,45,4,0,0,0,0,12812266.67,10
2201,Vancouver Island/Coast,Alberni-Clayoquot,City of Port Alberni,2019,6,43,39,4,0,0,0,0,14217118.73,14
2202,Vancouver Island/Coast,Alberni-Clayoquot,City of Port Alberni,2019,7,52,46,5,0,0,0,1,12578000.0,14
2203,Vancouver Island/Coast,Alberni-Clayoquot,City of Port Alberni,2019,8,62,55,6,1,0,0,0,20203105.5,18
2204,Vancouver Island/Coast,Alberni-Clayoquot,City of Port Alberni,2019,9,43,36,5,2,0,0,0,12301113.0,9
2205,Vancouver Island/Coast,Alberni-Clayoquot,City of Port Alberni,2019,10,42,31,7,4,0,0,0,12591455.0,9
2206,Vancouver Island/Coast,Alberni-Clayoquot,City of Port Alberni,2019,11,27,25,2,0,0,0,0,7407300.0,8
2207,Vancouver Island/Coast,Alberni-Clayoquot,City of Port Alberni,2019,12,30,27,2,1,0,0,0,8401850.0,6
2208,Vancouver Island/Coast,Alberni-Clayoquot,District of Tofino,2019,1,3,1,1,0,0,0,1,1908999.0,0
2209,Vancouver Island/Coast,Alberni-Clayoquot,District of Tofino,2019,2,15,1,1,0,0,0,13,5785000.0,0
2210,Vancouver Island/Coast,Alberni-Clayoquot,District of Tofino,2019,3,2,0,1,0,0,1,0,2069500.0,0
2211,Vancouver Island/Coast,Alberni-Clayoquot,District of Tofino,2019,4,3,2,1,0,0,0,0,1712500.0,0
2212,Vancouver Island/Coast,Alberni-Clayoquot,District of Tofino,2019,5,4,1,3,0,0,0,0,1815500.0,2
2213,Vancouver Island/Coast,Alberni-Clayoquot,District of Tofino,2019,6,10,6,4,0,0,0,0,5684371.43,0
2214,Vancouver Island/Coast,Alberni-Clayoquot,District of Tofino,2019,7,7,3,3,0,0,1,0,6764000.0,0
2215,Vancouver Island/Coast,Alberni-Clayoquot,District of Tofino,2019,8,8,7,1,0,0,0,0,4742333.33,0
2216,Vancouver Island/Coast,Alberni-Clayoquot,District of Tofino,2019,9,4,2,2,0,0,0,0,3571600.0,0
2217,Vancouver Island/Coast,Alberni-Clayoquot,District of Tofino,2019,10,9,5,4,0,0,0,0,5522188.78,0
2218,Vancouver Island/Coast,Alberni-Clayoquot,District of Tofino,2019,11,3,2,1,0,0,0,0,1891900.0,0
2219,Vancouver Island/Coast,Alberni-Clayoquot,District of Tofino,2019,12,4,4,0,0,0,0,0,4779900.0,0
2220,Vancouver Island/Coast,Alberni-Clayoquot,District of Ucluelet,2019,1,6,6,0,0,0,0,0,2307700.0,1
2221,Vancouver Island/Coast,Alberni-Clayoquot,District of Ucluelet,2019,2,3,2,1,0,0,0,0,1655000.0,0
2222,Vancouver Island/Coast,Alberni-Clayoquot,District of Ucluelet,2019,3,6,5,1,0,0,0,0,2270000.0,1
2223,Vancouver Island/Coast,Alberni-Clayoquot,District of Ucluelet,2019,4,9,8,1,0,0,0,0,4078500.0,2
2224,Vancouver Island/Coast,Alberni-Clayoquot,District of Ucluelet,2019,5,11,7,4,0,0,0,0,4451690.48,1
2225,Vancouver Island/Coast,Alberni-Clayoquot,District of Ucluelet,2019,6,10,10,0,0,0,0,0,4259000.0,1
2226,Vancouver Island/Coast,Alberni-Clayoquot,District of Ucluelet,2019,7,10,8,2,0,0,0,0,4590700.0,0
2227,Vancouver Island/Coast,Alberni-Clayoquot,District of Ucluelet,2019,8,8,5,3,0,0,0,0,2832500.0,2
2228,Vancouver Island/Coast,Alberni-Clayoquot,District of Ucluelet,2019,9,6,6,0,0,0,0,0,3004000.0,1
2229,Vancouver Island/Coast,Alberni-Clayoquot,District of Ucluelet,2019,10,2,2,0,0,0,0,0,1168800.0,0
2230,Vancouver Island/Coast,Alberni-Clayoquot,District of Ucluelet,2019,11,5,4,1,0,0,0,0,2344800.0,1
2231,Vancouver Island/Coast,Alberni-Clayoquot,District of Ucluelet,2019,12,2,1,1,0,0,0,0,923000.0,0
2232,Vancouver Island/Coast,Alberni-Clayoquot,Alberni Rural,2019,1,7,4,0,0,0,3,0,4664170.5,0
2233,Vancouver Island/Coast,Alberni-Clayoquot,Alberni Rural,2019,2,12,11,0,0,0,1,0,4626253.09,1
2234,Vancouver Island/Coast,Alberni-Clayoquot,Alberni Rural,2019,3,18,13,0,0,0,4,1,8807900.0,1
